ID,displayId,name,status,priority,startDate,endDate,progress,owner_ID,shortDescription,longDescription
a2c78d8c-cb5c-451e-8012-88f7734a58f6,PRJ-018,Customer Support Chatbot,In Progress,Low,2026-06-01,2027-02-01,79,1f8c45fb-30f3-4a4d-bdc5-f67eb3612a87,Dummy description for Customer Support Chatbot.,"Dummy description for Customer Support Chatbot. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
bb964f67-0a48-4960-81f3-520d20c8c2dc,PRJ-019,Sales Forecasting Tool,At Risk,High,2026-07-01,2027-01-01,55,1c77242e-663c-4372-9390-daecbce6055f,Dummy description for Sales Forecasting Tool.,"Dummy description for Sales Forecasting Tool. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
9bcdf6f7-b95c-41fa-90a5-70a90917a00b,PRJ-020,Document Management System,Completed,Medium,2026-08-01,2027-03-01,100,25fe4215-e07c-4ce0-886e-33b3c083677f,Dummy description for Document Management System.,"Dummy description for Document Management System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
b933d054-871f-4e1d-b947-9bc06d555a51,PRJ-021,Learning Management System,Not Started,Low,2026-09-01,2027-05-01,0,20903584-2613-4af8-9732-55b5359f18df,Dummy description for Learning Management System.,"Dummy description for Learning Management System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
d2d1d198-2e65-4861-91bd-efd6af2dd802,PRJ-022,Fleet Tracking System,In Progress,High,2026-10-01,2027-04-01,47,ef52dbc7-a607-498d-91c7-217ce627e4a2,Dummy description for Fleet Tracking System.,"Dummy description for Fleet Tracking System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
2a6c3c70-a215-4bc4-95d6-1de04c7d6aa5,PRJ-023,Expense Reporting Tool,At Risk,Medium,2026-11-01,2027-06-01,25,f570a437-2ca7-4a33-b6f9-e6886b499a2a,Dummy description for Expense Reporting Tool.,"Dummy description for Expense Reporting Tool. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
95118dbb-9f0a-4a0d-81ed-31e8aa6fd211,PRJ-024,Vendor Management Portal,Completed,Low,2026-12-01,2027-08-01,100,6e4f0bce-ba61-44f9-a124-b9a10448fb64,Dummy description for Vendor Management Portal.,"Dummy description for Vendor Management Portal. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
01079efb-6b9b-4d64-a3c1-97fa62c637fb,PRJ-025,Quality Assurance Automation,Not Started,High,2026-01-01,2026-07-01,0,ea24f772-ed62-4341-970f-3bb4f3fdec8e,Overview of Quality Assurance Automation.,"Dummy description for Quality Assurance Automation. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
d4640cf4-ad13-4e0f-b0fd-dfca10ea047c,PRJ-026,Network Infrastructure Upgrade,In Progress,Medium,2026-02-01,2026-09-01,75,5bba6bd6-cbeb-4c90-848f-133a5a51e21d,Overview of Network Infrastructure Upgrade.,"Dummy description for Network Infrastructure Upgrade. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
9479d4fb-d88e-4f45-a302-720fa22d214b,PRJ-027,Data Warehouse Consolidation,At Risk,Low,2026-03-01,2026-11-01,45,5d1e26c8-50d5-472b-afb3-b4eab168475f,Overview of Data Warehouse Consolidation.,"Dummy description for Data Warehouse Consolidation. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
3ccac2e3-f4a3-4718-b354-a8c8bcb39c2c,PRJ-028,Mobile Payments Rollout,Completed,High,2026-04-01,2026-10-01,100,1f8c45fb-30f3-4a4d-bdc5-f67eb3612a87,Dummy description for Mobile Payments Rollout.,"Dummy description for Mobile Payments Rollout. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
6d5ce88f-f8fe-4b2d-bcd5-f75597248090,PRJ-029,Legacy System Decommission,Not Started,Medium,2026-05-01,2026-12-01,0,1c77242e-663c-4372-9390-daecbce6055f,Dummy description for Legacy System Decommission.,"Dummy description for Legacy System Decommission. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
ea07e3df-0f8e-43fa-beec-2e955f8ccc41,PRJ-030,Digital Signature Integration,In Progress,Low,2026-06-01,2027-02-01,43,25fe4215-e07c-4ce0-886e-33b3c083677f,Overview of Digital Signature Integration.,"Dummy description for Digital Signature Integration. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
3ff866c6-8ddc-49a9-b37c-8a28d0e6b909,PRJ-031,Contract Management System,At Risk,High,2026-07-01,2027-01-01,15,20903584-2613-4af8-9732-55b5359f18df,Dummy description for Contract Management System.,"Dummy description for Contract Management System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
b0f0a7d6-b003-488d-a1fd-e8c760ac155f,PRJ-032,IT Helpdesk Revamp,Completed,Medium,2026-08-01,2027-03-01,100,ef52dbc7-a607-498d-91c7-217ce627e4a2,Dummy description for IT Helpdesk Revamp.,"Dummy description for IT Helpdesk Revamp. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
11fca870-fb66-4cc1-82ec-574aed7d0146,PRJ-033,Analytics Platform Migration,Not Started,Low,2026-09-01,2027-05-01,0,f570a437-2ca7-4a33-b6f9-e6886b499a2a,Overview of Analytics Platform Migration.,"Dummy description for Analytics Platform Migration. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
c9eae00d-dcb3-4b52-a2b3-e88bb0cfe097,PRJ-034,Field Service App,In Progress,High,2026-10-01,2027-04-01,71,6e4f0bce-ba61-44f9-a124-b9a10448fb64,Dummy description for Field Service App.,"Dummy description for Field Service App. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
64066195-2c38-4d17-98e8-2b2e3308fb36,PRJ-035,Recruitment Portal Upgrade,At Risk,Medium,2026-11-01,2027-06-01,35,ea24f772-ed62-4341-970f-3bb4f3fdec8e,Dummy description for Recruitment Portal Upgrade.,"Dummy description for Recruitment Portal Upgrade. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
a676a8e2-e732-4903-80c7-cc967caf5bc1,PRJ-036,Performance Review System,Completed,Low,2026-12-01,2027-08-01,100,5bba6bd6-cbeb-4c90-848f-133a5a51e21d,Dummy description for Performance Review System.,"Dummy description for Performance Review System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
35450c33-f212-4030-8e10-680e83cafc5e,PRJ-037,Budget Planning Tool,Not Started,High,2026-01-01,2026-07-01,0,5d1e26c8-50d5-472b-afb3-b4eab168475f,Dummy description for Budget Planning Tool.,"Dummy description for Budget Planning Tool. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
f71173e8-1660-40d4-8f18-0bb612d1bd6a,PRJ-038,Asset Tracking System,In Progress,Medium,2026-02-01,2026-09-01,39,1f8c45fb-30f3-4a4d-bdc5-f67eb3612a87,Dummy description for Asset Tracking System.,"Dummy description for Asset Tracking System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
8e41a783-6650-47d9-9a04-1d6ce9cbf967,PRJ-039,Customer Feedback Portal,At Risk,Low,2026-03-01,2026-11-01,55,1c77242e-663c-4372-9390-daecbce6055f,Dummy description for Customer Feedback Portal.,"Dummy description for Customer Feedback Portal. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
1e4191e9-3a66-4dc2-9375-aec5dc35479f,PRJ-040,Disaster Recovery Planning,Completed,High,2026-04-01,2026-10-01,100,25fe4215-e07c-4ce0-886e-33b3c083677f,Dummy description for Disaster Recovery Planning.,"Dummy description for Disaster Recovery Planning. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
